"","id","cityname"
"1","160",""
"2","1508","A12 Air quality-based speed limit "
"3","1705",""
"4","1410","Valletta"
"5","1396","Salzburg"
"6","200",""
"7","250",""
"8","470",""
"9","450"," "
"10","835",""
"11","836",""
"12","841",""
"13","832",""
"14","400",""
"15","1524","Marseille - Emergency Scheme"
"16","320",""
"17","300",""
"18","1512","A12 Sectoral driving ban "
"19","1511","A12 Night time speed limit"
"20","700",""
"21","500",""
"22","570",""
"23","1238","Pergine Valsugana"
"24","582","Levico Terme"
"25","586",""
"26","1271","Bari"
"27","1272","Bariano"
"28","1393",NA
"29","780","Den Bosch"
"30","1473",""
"31","1262","Agrigento"
"32","1261","Poppi"
"33","1250","Cervia"
"34","816","Norway - CS"
"35","820","Sweden - CS"
"36","924",""
"37","848","Palermo - AR"
"38","911","Brno"
"39","912","Bucuresti (Bucharest)"
"40","913","Dublin"
"41","920","Sofia"
"42","1256","Maiori"
"43","1255","Genova"
"44","1251","Chieti"
"45","1252","Citta di Arona"
"46","1165","Sulmona"
"47","1166","Teramo"
"48","1167","Atrani"
"49","1257","Nola"
"50","1159","Durham"
"51","1510","A12 Night driving ban "
"52","1509","A12 Ban on overtaking"
"53","1243","Ameglia"
"54","1174","Paestum"
"55","1175","Pozzuoli"
"56","1176","Salerno"
"57","1253","Forio"
"58","1178","Santarcangelo di Romagna"
"59","1184","Rieti"
"60","1185","Tivoli "
"61","1345","Pesaro"
"62","1279","Campo nell'Elba"
"63","1346","Pescara"
"64","1254","Gaeta"
"65","1244","Ariccia"
"66","1245","Borghetto Santo Spirito"
"67","1205","Piglio"
"68","1206","Rieti"
"69","1207","Tivoli"
"70","1208","Lerici"
"71","1209","Mediglia"
"72","1246","Bracciano"
"73","1247","Caiazzo"
"74","1248","Caserta"
"75","1249","Cava dei Tirreni"
"76","1265","Altamura"
"77","1266","Altopascio"
"78","1215","Taormina"
"79","1263","Albino"
"80","1264","Alghero"
"81","1276","Bitonto"
"82","1277","Busto Arsizio"
"83","1278","Cagliari"
"84","1268","Arona"
"85","1269","Asolo"
"86","1270","Bardonecchia"
"87","1267","Arezzo"
"88","1273","Barletta"
"89","1274","Bassano del Grappa"
"90","1275","Bellagio "
"91","1280","Capoliveri"
"92","1281","Cariati"
"93","1282","Casciana Terme"
"94","1283","Cascina"
"95","1284","Casole val d'Elsa"
"96","1285","Castiglion della Pescaia"
"97","1286","Castiglione Fiorentino "
"98","1287","Catania"
"99","1288","Cecina"
"100","1289","Celano"
"101","1290","Cernusco sul Naviglio"
"102","1291","Colle val d'Elsa"
"103","1292","Concorezzo"
"104","1293","Conegliano"
"105","1294","Conversano"
"106","1295","Corato"
"107","1296","Corsico"
"108","1297","Cortona"
"109","1298","Curtatone"
"110","1299","Fiano Romano"
"111","1301","Foggia"
"112","1302","Foiano della Chiana"
"113","1303","Forte dei Marmi"
"114","1304","Gallarate"
"115","1305","Galliate"
"116","1306","Gallipoli"
"117","1307","Giovinazzo"
"118","1308","Grosseto"
"119","1309","Jesi "
"120","1310","La Spezia"
"121","1311","Lanciano"
"122","1312","Lari"
"123","1313","Lazise"
"124","1314","Lecce"
"125","1315","Levanto"
"126","1316","Livorno"
"127","1317","Lovere"
"128","1318","Lucera"
"129","1319","Lucignano"
"130","1320","Macerata"
"131","1321","Malgrate"
"132","1322","Manfredonia"
"133","1323","Marostica"
"134","1324","Marsala"
"135","1326","Mede"
"136","1327","Melegnano"
"137","1328","Melfi"
"138","1329","Melzo"
"139","1330","Mestre"
"140","1331","Mirano"
"141","1332","Moena"
"142","1333","Montafalcone"
"143","1334","Montagnana"
"144","1335","Monte Argentario"
"145","1336","Montecatini Terme"
"146","1337","Monza"
"147","1338","Numana "
"148","1339","Nuoro"
"149","1340","Oggiono"
"150","1341","Orta San Giulio"
"151","1342","Orvieto"
"152","1343","Padova"
"153","1344","Paullo"
"154","1347","Peschiera Borromeo"
"155","1348","Pioltello"
"156","1349","Piombino"
"157","1350","Piove di Sacco"
"158","1351","Pistoia"
"159","1352","Portoferraio"
"160","1353","Portogruaro"
"161","1354","Potenza"
"162","1355","Ragusa"
"163","1356","Ravenna"
"164","1357","Reggio Calabria"
"165","1358","Rho"
"166","1359","Rovereto"
"167","1360","Rovigo"
"168","1361","San Giovanni Valdarno"
"169","1362","San Severo"
"170","1363","Saronno"
"171","1364","Sarzana"
"172","1365","Sauze d'Oulx"
"173","1366","Selvazzano"
"174","1367","Senigallia"
"175","1368","Seregno"
"176","1369","Sesto Calende"
"177","1370","Sestri Levante"
"178","1371","Siena"
"179","1372","Siracusa"
"180","1373","Sondrio"
"181","1374","Spino d'Adda"
"182","1375","Spoleto"
"183","1376","Spotorno"
"184","1377","Terlizzi "
"185","1378","Termoli"
"186","1380","Todi"
"187","1381","Treviglio"
"188","1382","Tropea"
"189","1383","Urbino"
"190","1384","Valeggio sul Mincio"
"191","1385","Vicenza"
"192","1386","Vizzolo Predabissi"
"193","1387","Volterra"
"194","1391","'s-Hertogenbosch"
"195","1407","Ljubljana"
"196","1409","Matera"
"197","1416","Car-free towns in Switzerland"
"198","1440","Gela"
"199","1438","Nardò"
"200","1439","Ventimiglia"
"201","1441","Ancona"
"202","1442","Imperia"
"203","1443","Leonforte"
"204","1444","Monopoli"
"205","1445","Grado"
"206","1446","Massa"
"207","1447","Punta Secca"
"208","1448","Legnano"
"209","1449","Frascati"
"210","1451","Castellaneta"
"211","1456","Studded tires in Norway"
"212","1472","Rovereto"
"213","1475",""
"214","1487",""
"215","1519","Emilia Romagna, Lombardia, Piemonte and Veneto - Emergency Scheme"
"216","1539","Studded tyres in Sweden"
"217","1552","French emergency schemes"
"218","1570",""
"219","1571","Marseille"
"220","1572","Clermont"
"221","1574","Montpellier"
"222","1676",""
"223","1698","Bristol"
"224","1700","Emilia Romagna, Lombardia, Piemonte and Veneto - Emergency Scheme"
